main_matrix_name,aux_0_matrix_name,aux_1_matrix_name,rmse
KOSJ950108.csv,OVEJ920101.csv,JOHM930101.csv,0.7518
KOSJ950108.csv,OVEJ920101.csv,KOSJ950106.csv,0.7507
KOSJ950108.csv,OVEJ920101.csv,LUTR910102.csv,0.7500
KOSJ950108.csv,OVEJ920101.csv,MUET020102.csv,0.7499
KOSJ950108.csv,OVEJ920101.csv,KOLA920101.csv,0.7497
KOSJ950108.csv,OVEJ920101.csv,TUDE900101.csv,0.7492
KOSJ950108.csv,OVEJ920101.csv,KOSJ950111.csv,0.7495
KOSJ950108.csv,OVEJ920101.csv,KOSJ950110.csv,0.7500
KOSJ950108.csv,OVEJ920101.csv,NIEK910101.csv,0.7514
KOSJ950108.csv,OVEJ920101.csv,CSEM940101.csv,0.7517
KOSJ950108.csv,OVEJ920101.csv,NGPC000101.csv,0.7519
KOSJ950108.csv,OVEJ920101.csv,GONG920101.csv,0.7520
KOSJ950108.csv,OVEJ920101.csv,KOSJ950114.csv,0.7521
KOSJ950108.csv,OVEJ920101.csv,HENS920104.csv,0.7523
KOSJ950108.csv,OVEJ920101.csv,RUSR970101.csv,0.7519
KOSJ950108.csv,OVEJ920101.csv,QU_C930101.csv,0.7532
KOSJ950108.csv,OVEJ920101.csv,KOSJ950109.csv,0.7537
KOSJ950108.csv,OVEJ920101.csv,MIYS930101.csv,0.7536
KOSJ950108.csv,OVEJ920101.csv,HENS920101.csv,0.7537
KOSJ950108.csv,OVEJ920101.csv,KOSJ950107.csv,0.7537
KOSJ950108.csv,OVEJ920101.csv,DAYM780301.csv,0.7537
KOSJ950108.csv,OVEJ920101.csv,NAOD960101.csv,0.7536
KOSJ950108.csv,OVEJ920101.csv,ALTS910101.csv,0.7536
KOSJ950108.csv,OVEJ920101.csv,OVEJ920103.csv,0.7546
KOSJ950108.csv,OVEJ920101.csv,AZAE970101.csv,0.7546
KOSJ950108.csv,OVEJ920101.csv,MOHR870101.csv,0.7546
KOSJ950108.csv,OVEJ920101.csv,PRLA000102.csv,0.7544
KOSJ950108.csv,OVEJ920101.csv,AZAE970102.csv,0.7544
KOSJ950108.csv,OVEJ920101.csv,JOND920103.csv,0.7541
KOSJ950108.csv,OVEJ920101.csv,KOSJ950105.csv,0.7541
KOSJ950108.csv,OVEJ920101.csv,DOSZ010102.csv,0.7542
KOSJ950108.csv,OVEJ920101.csv,KOSJ950101.csv,0.7550
KOSJ950108.csv,OVEJ920101.csv,GRAR740104.csv,0.7548
KOSJ950108.csv,OVEJ920101.csv,FEND850101.csv,0.7545
KOSJ950108.csv,OVEJ920101.csv,MUET020101.csv,0.7544
KOSJ950108.csv,OVEJ920101.csv,LUTR910107.csv,0.7543
KOSJ950108.csv,OVEJ920101.csv,HENS920103.csv,0.7545
KOSJ950108.csv,OVEJ920101.csv,KOSJ950104.csv,0.7552
KOSJ950108.csv,OVEJ920101.csv,LUTR910106.csv,0.7549
KOSJ950108.csv,OVEJ920101.csv,RUSR970103.csv,0.7535
