matrix_name,rmse
JOHM930101.csv,0.9715
KOSJ950106.csv,0.7687
LUTR910102.csv,0.9721
MUET020102.csv,0.9721
KOLA920101.csv,0.9747
TUDE900101.csv,0.9723
KOSJ950111.csv,0.7682
OVEJ920101.csv,0.9707
KOSJ950110.csv,0.7692
NIEK910101.csv,0.9728
CSEM940101.csv,0.9731
NGPC000101.csv,0.9736
GONG920101.csv,0.9714
KOSJ950114.csv,0.7700
HENS920104.csv,0.9749
RUSR970101.csv,0.9734
QU_C930101.csv,0.9739
KOSJ950109.csv,0.7684
MIYS930101.csv,0.9716
HENS920101.csv,0.9743
KOSJ950107.csv,0.7676
DAYM780301.csv,0.9726
NAOD960101.csv,0.9722
ALTS910101.csv,0.9731
OVEJ920103.csv,0.7620
AZAE970101.csv,0.9717
MOHR870101.csv,0.9715
PRLA000102.csv,0.9716
AZAE970102.csv,0.9731
JOND920103.csv,0.9887
KOSJ950105.csv,0.7682
DOSZ010102.csv,0.7664
KOSJ950101.csv,0.7687
GRAR740104.csv,0.9722
FEND850101.csv,0.9736
MUET020101.csv,0.9737
LUTR910107.csv,0.9716
HENS920103.csv,0.9719
KOSJ950104.csv,0.7675
LUTR910106.csv,0.9731
RUSR970103.csv,0.9755
CROG050101.csv,0.9716
BENS940102.csv,0.9724
DOSZ010103.csv,0.7699
BENS940103.csv,0.9717
WEIL970101.csv,0.9752
KOSJ950108.csv,0.7638
BENS940101.csv,0.9734
LUTR910104.csv,0.9721
OVEJ920105.csv,0.7639
LINK010101.csv,0.7664
MCLA710101.csv,0.9744
LUTR910105.csv,0.9721
MIYT790101.csv,0.9716
HENS920102.csv,0.9731
GEOD900101.csv,1.0201
WEIL970102.csv,0.9786
RUSR970102.csv,0.9800
DOSZ010104.csv,0.7638
MCLA720101.csv,0.9788
LUTR910101.csv,0.9713
BENS940104.csv,0.9719
NIEK910102.csv,0.9725
BLAJ010101.csv,0.9713
RIER950101.csv,0.9712
LUTR910103.csv,0.9729
KOSJ950113.csv,0.7681
LUTR910108.csv,0.9728
DOSZ010101.csv,0.7761
LUTR910109.csv,0.9718
KOSJ950112.csv,0.7678
JOND940101.csv,0.9804
OVEJ920104.csv,0.7656
PRLA000101.csv,0.9721
KANM000101.csv,0.9725
OGAK980101.csv,0.9711
MUET010101.csv,0.9730
GIAG010101.csv,0.7682
KAPO950101.csv,0.9714
KOSJ950102.csv,0.7661
QUIB020101.csv,0.9723
LEVJ860101.csv,0.9749
MEHP950102.csv,0.9731
VOGG950101.csv,0.9714
KOSJ950103.csv,0.7692
FITW660101.csv,0.9787
KOSJ950115.csv,0.7674
OVEJ920102.csv,0.7646
QU_C930102.csv,0.9728
RISJ880101.csv,0.9808
QU_C930103.csv,0.9749
DAYM780302.csv,0.9727
