main_matrix_name,aux_matrix_name,rmse
DOSZ010101.csv,JOHM930101.csv,0.8536
DOSZ010101.csv,KOSJ950106.csv,0.8529
DOSZ010101.csv,LUTR910102.csv,0.8536
DOSZ010101.csv,MUET020102.csv,0.8529
DOSZ010101.csv,KOLA920101.csv,0.8518
DOSZ010101.csv,TUDE900101.csv,0.8533
DOSZ010101.csv,KOSJ950111.csv,0.8527
DOSZ010101.csv,OVEJ920101.csv,0.8535
DOSZ010101.csv,KOSJ950110.csv,0.8526
DOSZ010101.csv,NIEK910101.csv,0.8531
DOSZ010101.csv,CSEM940101.csv,0.8534
DOSZ010101.csv,NGPC000101.csv,0.8532
DOSZ010101.csv,GONG920101.csv,0.8532
DOSZ010101.csv,KOSJ950114.csv,0.8529
DOSZ010101.csv,HENS920104.csv,0.8528
DOSZ010101.csv,RUSR970101.csv,0.8547
DOSZ010101.csv,QU_C930101.csv,0.8515
DOSZ010101.csv,KOSJ950109.csv,0.8529
DOSZ010101.csv,MIYS930101.csv,0.8538
DOSZ010101.csv,HENS920101.csv,0.8532
DOSZ010101.csv,KOSJ950107.csv,0.8514
DOSZ010101.csv,DAYM780301.csv,0.8530
DOSZ010101.csv,NAOD960101.csv,0.8543
DOSZ010101.csv,ALTS910101.csv,0.8535
DOSZ010101.csv,OVEJ920103.csv,0.8536
DOSZ010101.csv,AZAE970101.csv,0.8542
DOSZ010101.csv,MOHR870101.csv,0.8533
