main_matrix_name,aux_matrix_name,rmse
LUTR910104.csv,KOSJ950101.csv,0.8280
LUTR910104.csv,KOSJ950113.csv,0.8291
LUTR910104.csv,MOHR870101.csv,0.8282
LUTR910104.csv,NAOD960101.csv,0.8283
LUTR910104.csv,RUSR970103.csv,0.8287
LUTR910104.csv,PRLA000101.csv,0.8269
LUTR910104.csv,BENS940102.csv,0.8273
LUTR910104.csv,LEVJ860101.csv,0.8278
LUTR910104.csv,QU_C930101.csv,0.8280
LUTR910104.csv,VOGG950101.csv,0.8296
LUTR910104.csv,LUTR910106.csv,0.8284
LUTR910104.csv,HENS920101.csv,0.8296
LUTR910104.csv,KOSJ950102.csv,0.8284
LUTR910104.csv,FEND850101.csv,0.8268
LUTR910104.csv,MCLA710101.csv,0.8282
LUTR910104.csv,QU_C930103.csv,0.8275
LUTR910104.csv,JOHM930101.csv,0.8285
LUTR910104.csv,MUET020101.csv,0.8286
LUTR910104.csv,LUTR910105.csv,0.8261
LUTR910104.csv,OVEJ920105.csv,0.8287
LUTR910104.csv,BENS940104.csv,0.8257
LUTR910104.csv,HENS920103.csv,0.8286
LUTR910104.csv,BENS940101.csv,0.8261
LUTR910104.csv,RUSR970102.csv,0.8285
LUTR910104.csv,JOND940101.csv,0.8280
LUTR910104.csv,FITW660101.csv,0.8278
LUTR910104.csv,PRLA000102.csv,0.8272
LUTR910104.csv,CROG050101.csv,0.8285
LUTR910104.csv,MCLA720101.csv,0.8274
LUTR910104.csv,DOSZ010102.csv,0.8269
LUTR910104.csv,NGPC000101.csv,0.8284
LUTR910104.csv,DOSZ010101.csv,0.8265
LUTR910104.csv,QU_C930102.csv,0.8289
LUTR910104.csv,GRAR740104.csv,0.8283
LUTR910104.csv,CSEM940101.csv,0.8273
LUTR910104.csv,WEIL970101.csv,0.8290
LUTR910104.csv,GONG920101.csv,0.8298
LUTR910104.csv,NIEK910101.csv,0.8285
LUTR910104.csv,JOND920103.csv,0.8274
LUTR910104.csv,KOSJ950109.csv,0.8271
LUTR910104.csv,DOSZ010104.csv,0.8293
LUTR910104.csv,AZAE970102.csv,0.8272
LUTR910104.csv,LUTR910103.csv,0.8276
LUTR910104.csv,KOSJ950108.csv,0.8283
LUTR910104.csv,KOSJ950105.csv,0.8263
LUTR910104.csv,RUSR970101.csv,0.8293
LUTR910104.csv,NIEK910102.csv,0.8280
LUTR910104.csv,OVEJ920101.csv,0.8288
LUTR910104.csv,HENS920104.csv,0.8292
LUTR910104.csv,OGAK980101.csv,0.8275
LUTR910104.csv,MEHP950102.csv,0.8276
LUTR910104.csv,LUTR910101.csv,0.8277
LUTR910104.csv,MUET010101.csv,0.8276
LUTR910104.csv,DAYM780301.csv,0.8288
LUTR910104.csv,BENS940103.csv,0.8291
LUTR910104.csv,TUDE900101.csv,0.8267
LUTR910104.csv,RIER950101.csv,0.8274
LUTR910104.csv,KOSJ950110.csv,0.8278
LUTR910104.csv,OVEJ920104.csv,0.8269
LUTR910104.csv,LUTR910102.csv,0.8254
LUTR910104.csv,KOSJ950106.csv,0.8262
LUTR910104.csv,KOSJ950111.csv,0.8289
LUTR910104.csv,MIYT790101.csv,0.8277
LUTR910104.csv,RISJ880101.csv,0.8269
LUTR910104.csv,WEIL970102.csv,0.8276
LUTR910104.csv,MUET020102.csv,0.8292
LUTR910104.csv,KOSJ950104.csv,0.8270
LUTR910104.csv,KOSJ950103.csv,0.8293
LUTR910104.csv,DOSZ010103.csv,0.8295
LUTR910104.csv,QUIB020101.csv,0.8287
LUTR910104.csv,BLAJ010101.csv,0.8294
LUTR910104.csv,MIYS930101.csv,0.8267
LUTR910104.csv,KOSJ950114.csv,0.8283
LUTR910104.csv,HENS920102.csv,0.8291
LUTR910104.csv,ALTS910101.csv,0.8284
LUTR910104.csv,LINK010101.csv,0.8278
LUTR910104.csv,KAPO950101.csv,0.8268
LUTR910104.csv,LUTR910109.csv,0.8290
LUTR910104.csv,AZAE970101.csv,0.8267
LUTR910104.csv,DAYM780302.csv,0.8275
LUTR910104.csv,OVEJ920103.csv,0.8271
LUTR910104.csv,KOLA920101.csv,0.8303
LUTR910104.csv,KOSJ950112.csv,0.8289
LUTR910104.csv,LUTR910107.csv,0.8282
LUTR910104.csv,KOSJ950107.csv,0.8276
LUTR910104.csv,KANM000101.csv,0.8293
LUTR910104.csv,OVEJ920102.csv,0.8277
LUTR910104.csv,KOSJ950115.csv,0.8286
LUTR910104.csv,LUTR910108.csv,0.8289
LUTR910104.csv,GEOD900101.csv,0.8285
