main_matrix_name,aux_0_matrix_name,aux_1_matrix_name,rmse
OVEJ920105.csv,HENS920103.csv,KOSJ950101.csv,1.1669
OVEJ920105.csv,HENS920103.csv,KOSJ950113.csv,1.1673
OVEJ920105.csv,HENS920103.csv,MOHR870101.csv,1.1679
OVEJ920105.csv,HENS920103.csv,NAOD960101.csv,1.1688
OVEJ920105.csv,HENS920103.csv,RUSR970103.csv,1.1746
OVEJ920105.csv,HENS920103.csv,PRLA000101.csv,1.1770
OVEJ920105.csv,HENS920103.csv,BENS940102.csv,1.1790
OVEJ920105.csv,HENS920103.csv,LEVJ860101.csv,1.1793
OVEJ920105.csv,HENS920103.csv,QU_C930101.csv,1.1803
OVEJ920105.csv,HENS920103.csv,VOGG950101.csv,1.1820
OVEJ920105.csv,HENS920103.csv,LUTR910106.csv,1.1827
OVEJ920105.csv,HENS920103.csv,HENS920101.csv,1.1824
OVEJ920105.csv,HENS920103.csv,KOSJ950102.csv,1.1845
OVEJ920105.csv,HENS920103.csv,FEND850101.csv,1.1840
OVEJ920105.csv,HENS920103.csv,MCLA710101.csv,1.1827
OVEJ920105.csv,HENS920103.csv,QU_C930103.csv,1.1854
OVEJ920105.csv,HENS920103.csv,JOHM930101.csv,1.1838
OVEJ920105.csv,HENS920103.csv,MUET020101.csv,1.1844
OVEJ920105.csv,HENS920103.csv,LUTR910105.csv,1.1844
OVEJ920105.csv,HENS920103.csv,LUTR910104.csv,1.1852
OVEJ920105.csv,HENS920103.csv,BENS940104.csv,1.1842
OVEJ920105.csv,HENS920103.csv,HENS920103.csv,1.1847
OVEJ920105.csv,HENS920103.csv,BENS940101.csv,1.1858
OVEJ920105.csv,HENS920103.csv,RUSR970102.csv,1.1878
OVEJ920105.csv,HENS920103.csv,JOND940101.csv,1.1876
OVEJ920105.csv,HENS920103.csv,FITW660101.csv,1.1881
OVEJ920105.csv,HENS920103.csv,PRLA000102.csv,1.1884
OVEJ920105.csv,HENS920103.csv,CROG050101.csv,1.1882
OVEJ920105.csv,HENS920103.csv,MCLA720101.csv,1.1885
OVEJ920105.csv,HENS920103.csv,DOSZ010102.csv,1.1903
OVEJ920105.csv,HENS920103.csv,NGPC000101.csv,1.1904
OVEJ920105.csv,HENS920103.csv,DOSZ010101.csv,1.1910
OVEJ920105.csv,HENS920103.csv,QU_C930102.csv,1.1912
OVEJ920105.csv,HENS920103.csv,GRAR740104.csv,1.1909
OVEJ920105.csv,HENS920103.csv,CSEM940101.csv,1.1899
OVEJ920105.csv,HENS920103.csv,WEIL970101.csv,1.1907
OVEJ920105.csv,HENS920103.csv,GONG920101.csv,1.1902
OVEJ920105.csv,HENS920103.csv,NIEK910101.csv,1.1911
OVEJ920105.csv,HENS920103.csv,JOND920103.csv,1.1906
OVEJ920105.csv,HENS920103.csv,KOSJ950109.csv,1.1920
OVEJ920105.csv,HENS920103.csv,DOSZ010104.csv,1.1901
OVEJ920105.csv,HENS920103.csv,AZAE970102.csv,1.1915
OVEJ920105.csv,HENS920103.csv,LUTR910103.csv,1.1914
OVEJ920105.csv,HENS920103.csv,KOSJ950108.csv,1.1909
OVEJ920105.csv,HENS920103.csv,KOSJ950105.csv,1.1913
OVEJ920105.csv,HENS920103.csv,RUSR970101.csv,1.1929
OVEJ920105.csv,HENS920103.csv,NIEK910102.csv,1.1923
OVEJ920105.csv,HENS920103.csv,OVEJ920101.csv,1.1926
OVEJ920105.csv,HENS920103.csv,HENS920104.csv,1.1921
OVEJ920105.csv,HENS920103.csv,OGAK980101.csv,1.1929
OVEJ920105.csv,HENS920103.csv,MEHP950102.csv,1.1931
OVEJ920105.csv,HENS920103.csv,LUTR910101.csv,1.1930
OVEJ920105.csv,HENS920103.csv,MUET010101.csv,1.1930
OVEJ920105.csv,HENS920103.csv,DAYM780301.csv,1.1928
OVEJ920105.csv,HENS920103.csv,BENS940103.csv,1.1921
OVEJ920105.csv,HENS920103.csv,TUDE900101.csv,1.1927
OVEJ920105.csv,HENS920103.csv,RIER950101.csv,1.1937
OVEJ920105.csv,HENS920103.csv,KOSJ950110.csv,1.1934
OVEJ920105.csv,HENS920103.csv,OVEJ920104.csv,1.1931
OVEJ920105.csv,HENS920103.csv,LUTR910102.csv,1.1936
OVEJ920105.csv,HENS920103.csv,KOSJ950106.csv,1.1945
OVEJ920105.csv,HENS920103.csv,KOSJ950111.csv,1.1932
OVEJ920105.csv,HENS920103.csv,MIYT790101.csv,1.1943
OVEJ920105.csv,HENS920103.csv,RISJ880101.csv,1.1946
OVEJ920105.csv,HENS920103.csv,WEIL970102.csv,1.1938
OVEJ920105.csv,HENS920103.csv,MUET020102.csv,1.1941
OVEJ920105.csv,HENS920103.csv,KOSJ950104.csv,1.1935
OVEJ920105.csv,HENS920103.csv,KOSJ950103.csv,1.1946
OVEJ920105.csv,HENS920103.csv,DOSZ010103.csv,1.1943
OVEJ920105.csv,HENS920103.csv,QUIB020101.csv,1.1947
OVEJ920105.csv,HENS920103.csv,BLAJ010101.csv,1.1938
OVEJ920105.csv,HENS920103.csv,MIYS930101.csv,1.1944
OVEJ920105.csv,HENS920103.csv,KOSJ950114.csv,1.1949
OVEJ920105.csv,HENS920103.csv,HENS920102.csv,1.1946
OVEJ920105.csv,HENS920103.csv,ALTS910101.csv,1.1951
OVEJ920105.csv,HENS920103.csv,LINK010101.csv,1.1944
OVEJ920105.csv,HENS920103.csv,KAPO950101.csv,1.1955
OVEJ920105.csv,HENS920103.csv,LUTR910109.csv,1.1950
OVEJ920105.csv,HENS920103.csv,AZAE970101.csv,1.1948
OVEJ920105.csv,HENS920103.csv,DAYM780302.csv,1.1950
OVEJ920105.csv,HENS920103.csv,OVEJ920103.csv,1.1955
OVEJ920105.csv,HENS920103.csv,KOLA920101.csv,1.1957
OVEJ920105.csv,HENS920103.csv,KOSJ950112.csv,1.1949
OVEJ920105.csv,HENS920103.csv,LUTR910107.csv,1.1948
OVEJ920105.csv,HENS920103.csv,KOSJ950107.csv,1.1950
OVEJ920105.csv,HENS920103.csv,KANM000101.csv,1.1951
OVEJ920105.csv,HENS920103.csv,OVEJ920102.csv,1.1948
OVEJ920105.csv,HENS920103.csv,KOSJ950115.csv,1.1949
OVEJ920105.csv,HENS920103.csv,LUTR910108.csv,1.1954
OVEJ920105.csv,HENS920103.csv,GEOD900101.csv,1.1955
OVEJ920105.csv,HENS920103.csv,GIAG010101.csv,1.1951
