matrix_name,rmse
KOSJ950101.csv,1.2095
KOSJ950113.csv,1.2023
MOHR870101.csv,1.2348
NAOD960101.csv,1.2209
RUSR970103.csv,1.2222
PRLA000101.csv,1.2191
BENS940102.csv,1.2165
LEVJ860101.csv,1.2488
QU_C930101.csv,1.2234
VOGG950101.csv,1.2186
LUTR910106.csv,1.2236
HENS920101.csv,1.2185
KOSJ950102.csv,1.2064
FEND850101.csv,1.2270
MCLA710101.csv,1.2198
QU_C930103.csv,1.2831
JOHM930101.csv,1.2161
MUET020101.csv,1.2206
LUTR910105.csv,1.2181
OVEJ920105.csv,1.2089
LUTR910104.csv,1.2181
BENS940104.csv,1.2169
HENS920103.csv,1.2176
BENS940101.csv,1.2157
RUSR970102.csv,1.2487
JOND940101.csv,1.2561
FITW660101.csv,1.2761
PRLA000102.csv,1.2109
CROG050101.csv,1.2753
MCLA720101.csv,1.2209
DOSZ010102.csv,1.2097
NGPC000101.csv,1.2227
DOSZ010101.csv,1.2048
QU_C930102.csv,1.2288
GRAR740104.csv,1.2149
CSEM940101.csv,1.2152
WEIL970101.csv,1.2306
GONG920101.csv,1.2186
NIEK910101.csv,1.2202
JOND920103.csv,1.2756
KOSJ950109.csv,1.2095
DOSZ010104.csv,1.2103
AZAE970102.csv,1.2187
LUTR910103.csv,1.2125
KOSJ950108.csv,1.2120
KOSJ950105.csv,1.2125
RUSR970101.csv,1.2254
NIEK910102.csv,1.2184
OVEJ920101.csv,1.2184
HENS920104.csv,1.2207
OGAK980101.csv,1.2234
MEHP950102.csv,1.2222
LUTR910101.csv,1.2162
MUET010101.csv,1.2180
DAYM780301.csv,1.2231
BENS940103.csv,1.2154
TUDE900101.csv,1.2160
RIER950101.csv,1.2683
KOSJ950110.csv,1.2091
OVEJ920104.csv,1.1993
LUTR910102.csv,1.2174
KOSJ950106.csv,1.2110
KOSJ950111.csv,1.2065
MIYT790101.csv,1.2183
RISJ880101.csv,1.2682
WEIL970102.csv,1.3738
MUET020102.csv,1.2163
KOSJ950104.csv,1.2037
KOSJ950103.csv,1.2077
DOSZ010103.csv,1.2074
QUIB020101.csv,1.2210
BLAJ010101.csv,1.2249
MIYS930101.csv,1.2257
KOSJ950114.csv,1.2089
HENS920102.csv,1.2208
ALTS910101.csv,1.2230
LINK010101.csv,1.2080
KAPO950101.csv,1.2121
LUTR910109.csv,1.2193
AZAE970101.csv,1.2159
DAYM780302.csv,1.2189
OVEJ920103.csv,1.2031
KOLA920101.csv,1.2320
KOSJ950112.csv,1.2260
LUTR910107.csv,1.2175
KOSJ950107.csv,1.2133
KANM000101.csv,1.2178
OVEJ920102.csv,1.2095
KOSJ950115.csv,1.2003
LUTR910108.csv,1.2198
GEOD900101.csv,1.5878
GIAG010101.csv,1.2495
