Test Virus,Reference Virus,Titre
A/Acores/SU43/2012,A/Berlin/93/2011,640
A/Acores/SU43/2012,A/Hawaii/22/2012,320
A/Acores/SU43/2012,A/Iowa/19/2010,320
A/Acores/SU43/2012,A/Perth/16/2009,160
A/Acores/SU43/2012,A/Stockholm/18/2011,320
A/Acores/SU43/2012,A/Texas/50/2012,1280
A/Acores/SU43/2012,A/Victoria/208/2009,160
A/Acores/SU43/2012,A/Victoria/361/2011,480
A/Ad_Duqm/7241563/2024,A/Albania/289813/2022,320
A/Ad_Duqm/7241563/2024,A/Lisboa/216/2023,320
A/Ad_Duqm/7241563/2024,A/Massachusetts/18/2022,160
A/Ad_Duqm/7241563/2024,A/Netherlands/10563/2023,640
A/Ad_Duqm/7241563/2024,A/Slovenia/49/2024,320
A/Ad_Duqm/7241563/2024,A/Sydney/856/2023,320
A/Adana/111/2014,A/Almaty/2958/2013,640
A/Adana/111/2014,A/Iowa/19/2010,320
A/Adana/111/2014,A/Perth/16/2009,80
A/Adana/111/2014,A/Samara/73/2013,640
A/Adana/111/2014,A/Serbia/NS-210/2013,320
A/Adana/111/2014,A/Stockholm/18/2011,320
A/Adana/111/2014,A/Texas/50/2012,320
A/Adana/111/2014,A/Victoria/361/2011,320
A/Adana/116/2014,A/Almaty/2958/2013,320
A/Adana/116/2014,A/Iowa/19/2010,80
A/Adana/116/2014,A/Perth/16/2009,40
A/Adana/116/2014,A/Samara/73/2013,640
A/Adana/116/2014,A/Serbia/NS-210/2013,320
A/Adana/116/2014,A/Stockholm/18/2011,160
A/Adana/116/2014,A/Texas/50/2012,160
A/Adana/116/2014,A/Victoria/361/2011,320
A/Adana/117/2014,A/Almaty/2958/2013,320
A/Adana/117/2014,A/Iowa/19/2010,80
A/Adana/117/2014,A/Perth/16/2009,40
A/Adana/117/2014,A/Samara/73/2013,640
A/Adana/117/2014,A/Serbia/NS-210/2013,320
A/Adana/117/2014,A/Stockholm/18/2011,160
A/Adana/117/2014,A/Texas/50/2012,160
A/Adana/117/2014,A/Victoria/361/2011,320
A/Adana/199/2014,A/Almaty/2958/2013,320
A/Adana/199/2014,A/Iowa/19/2010,160
