Test Virus,Reference Virus,Titre
A/Acores/SU43/2012,A/Berlin/93/2011,528
A/Acores/SU43/2012,A/Finland/40/2010,210
A/Acores/SU43/2012,A/Hawaii/22/2012,264
A/Acores/SU43/2012,A/Iowa/19/2010,244
A/Acores/SU43/2012,A/Johannesburg/126/2009,106
A/Acores/SU43/2012,A/Minsk/1737/2012,760
A/Acores/SU43/2012,A/Perth/16/2009,84
A/Acores/SU43/2012,A/Samara/73/2013,80
A/Acores/SU43/2012,A/Victoria/361/2011,281
A/Adana/199/2014,A/Finland/40/2010,320
A/Adana/199/2014,A/Iowa/19/2010,160
A/Adana/199/2014,A/Minsk/1737/2012,160
A/Adana/199/2014,A/Paris/1988/2012,320
A/Adana/199/2014,A/Perth/16/2009,40
A/Adana/199/2014,A/Samara/73/2013,640
A/Adana/199/2014,A/Victoria/361/2011,320
A/Adjame/GR1272/2011,A/Brisbane/10/2007,40
A/Adjame/GR1272/2011,A/Finland/40/2010,640
A/Adjame/GR1272/2011,A/Iowa/19/2010,320
A/Adjame/GR1272/2011,A/Johannesburg/126/2009,160
A/Adjame/GR1272/2011,A/Perth/10/2010,320
A/Adjame/GR1272/2011,A/Perth/16/2009,80
A/Adjame/GR1272/2011,A/Victoria/210/2009,160
A/Adjame/GR1327/2011,A/Brisbane/10/2007,40
A/Adjame/GR1327/2011,A/Finland/40/2010,640
A/Adjame/GR1327/2011,A/Iowa/19/2010,320
A/Adjame/GR1327/2011,A/Johannesburg/126/2009,160
A/Adjame/GR1327/2011,A/Perth/10/2010,640
A/Adjame/GR1327/2011,A/Perth/16/2009,80
A/Adjame/GR1327/2011,A/Victoria/210/2009,160
A/Agadir/87/2011,A/Brisbane/10/2007,40
A/Agadir/87/2011,A/Finland/40/2010,320
A/Agadir/87/2011,A/Iowa/19/2010,320
A/Agadir/87/2011,A/Johannesburg/126/2009,160
A/Agadir/87/2011,A/Perth/10/2010,640
A/Agadir/87/2011,A/Perth/16/2009,160
A/Agadir/87/2011,A/Victoria/210/2009,160
A/Akkar.LBN/6728/2021,A/Arsal/5767/2021,960
A/Akkar.LBN/6728/2021,A/Bangladesh/4005/2020,320
A/Akkar.LBN/6728/2021,A/Brandenburg/2/2022,240
A/Akkar.LBN/6728/2021,A/Cambodia/925256/2020,93
A/Akkar.LBN/6728/2021,A/Cambodia/e0826360/2020,80
A/Akkar.LBN/6728/2021,A/Darwin/9/2021,1066
A/Akkar.LBN/6728/2021,A/England/195200780/2019,80
A/Akkar.LBN/6728/2021,A/England/214040936/2021,360
A/Akkar.LBN/6728/2021,A/Ghana/1724/2022,40
A/Akkar.LBN/6728/2021,A/Israel/R-742/2016,<40
A/Akkar.LBN/6728/2021,A/Kyiv/1/2022,2560
A/Akkar.LBN/6728/2021,A/Norway/28542/2022,640
A/Akkar.LBN/6728/2021,A/Stockholm/5/2021,853
A/Akkar.LBN/6728/2021,A/Ukraine/354/2021,640
A/Alabama/05/2010,A/Brisbane/10/2007,<40
A/Alabama/05/2010,A/England/232/2009,40
A/Alabama/05/2010,A/Johannesburg/126/2009,40
A/Alabama/05/2010,A/Perth/16/2009,320
A/Alabama/05/2010,A/Uruguay/716/2007,80
A/Alabama/05/2010,A/Victoria/210/2009,80
A/Alabama/05/2010,A/Wisconsin/67/2005,<40
A/Alaska/5/2010,A/Bremen/1/2010,213
A/Alaska/5/2010,A/Brisbane/10/2007,80
A/Alaska/5/2010,A/England/232/2009,160
A/Alaska/5/2010,A/Guadeloupe/202/2010,240
A/Alaska/5/2010,A/Iowa/19/2010,1280
A/Alaska/5/2010,A/Johannesburg/126/2009,2880
A/Alaska/5/2010,A/Norway/1186/2011,320
A/Alaska/5/2010,A/Norway/685/2011,320
A/Alaska/5/2010,A/Panama/307149/2010,160
A/Alaska/5/2010,A/Perth/10/2010,660
A/Alaska/5/2010,A/Perth/16/2009,800
A/Alaska/5/2010,A/Stockholm/5/2011,320
A/Alaska/5/2010,A/Stockholm/6/2011,160
A/Alaska/5/2010,A/Stockholm/7/2011,160
A/Alaska/5/2010,A/Victoria/210/2009,1920
A/Alaska/5/2010,A/Wisconsin/67/2005,160
A/Albania/289605/2022,A/Arsal/5767/2021,240
A/Albania/289605/2022,A/Brandenburg/2/2022,480
A/Albania/289605/2022,A/Cambodia/925256/2020,120
A/Albania/289605/2022,A/Cambodia/e0826360/2020,240
A/Albania/289605/2022,A/Darwin/9/2021,240
A/Albania/289605/2022,A/England/214040936/2021,140
A/Albania/289605/2022,A/Lille/50053/2022,320
A/Albania/289605/2022,A/Stockholm/5/2021,480
A/Albania/289605/2022,A/Ukraine/354/2021,120
A/Albania/289788/2022,A/Arsal/5767/2021,320
A/Albania/289788/2022,A/Brandenburg/2/2022,320
A/Albania/289788/2022,A/Cambodia/925256/2020,80
A/Albania/289788/2022,A/Cambodia/e0826360/2020,320
A/Albania/289788/2022,A/Darwin/9/2021,320
A/Albania/289788/2022,A/England/214040936/2021,120
A/Albania/289788/2022,A/Lille/50053/2022,640
A/Albania/289788/2022,A/Stockholm/5/2021,320
A/Albania/289788/2022,A/Ukraine/354/2021,160
A/Albania/289813/2022,A/Albania/290243/2022,280
A/Albania/289813/2022,A/Albania/290270/2022,720
A/Albania/289813/2022,A/Albania/299565/2023,320
A/Albania/289813/2022,A/Albania/302203/2024,240
A/Albania/289813/2022,A/Albania/302412/2024,320
A/Albania/289813/2022,A/Albania/302481/2024,400
A/Albania/289813/2022,A/Albania/302626/2024,1280
A/Albania/289813/2022,A/Albania/302684/2024,640
A/Albania/289813/2022,A/Albania/302765/2024,1280
A/Albania/289813/2022,A/Albania/302946/2024,640
A/Albania/289813/2022,A/Alsace/06300/2024,560
A/Albania/289813/2022,A/Ambositra/01616/2024,640
