Test Virus,Reference Virus,Titre
A/Panama/2007/99,A/Panama/2007/99,2560
A/Egypt/130/02,A/Panama/2007/99,1280
A/Fujian/411/02,A/Panama/2007/99,80
A/Wyoming/3/03,A/Panama/2007/99,1280
A/UK/1861/03,A/Panama/2007/99,80
A/Christchurch/28/03,A/Panama/2007/99,80
A/Paris/637/03,A/Panama/2007/99,640
A/Samara/30/04,A/Panama/2007/99,2560
A/Turkey/405/04,A/Panama/2007/99,1280
A/Denmark/17/03,A/Panama/2007/99,160
A/Ireland/10108/03,A/Panama/2007/99,320
A/Israel/21/03,A/Panama/2007/99,160
A/Morocco/50/04,A/Panama/2007/99,160
A/Belgium/G24/04,A/Panama/2007/99,160
A/England/420/03,A/Panama/2007/99,320
A/Geneva/5361/03,A/Panama/2007/99,160
A/Lisbon/17/03,A/Panama/2007/99,160
A/Netherlands/327/03,A/Panama/2007/99,160
A/Barcelona/37/03,A/Panama/2007/99,160
A/Finland/324/03,A/Panama/2007/99,320
A/Paris/861/04,A/Panama/2007/99,160
A/Khaborovsk/34/03,A/Panama/2007/99,160
A/Prague/316/03,A/Panama/2007/99,320
A/Bucharest/194/03,A/Panama/2007/99,80
A/Lyon/2209/03,A/Panama/2007/99,160
A/Oslo/487/03,A/Panama/2007/99,80
A/Sachsen/366/03,A/Panama/2007/99,320
A/Algeria/303/03,A/Panama/2007/99,40
A/Belgrade/7103/03,A/Panama/2007/99,160
A/Stockholm/1/04,A/Panama/2007/99,80
A/Slovenia/1410/03,A/Panama/2007/99,160
A/Austria/134419/03,A/Panama/2007/99,160
A/Madrid/G1418/03,A/Panama/2007/99,160
A/Wellington/1/20,A/Panama/2007/99,160
A/Latvia/1297/04,A/Panama/2007/99,80
A/Trieste/19/04,A/Panama/2007/99,160
A/Iceland/6/04,A/Panama/2007/99,80
A/Madagascar/71824/04,A/Panama/2007/99,80
A/Morocco/467/04,A/Panama/2007/99,80
A/Parma/61/04,A/Panama/2007/99,80
A/Slovakia/608/03,A/Panama/2007/99,160
A/Shantou/575/04,A/Panama/2007/99,160
A/Dakar/15/04,A/Panama/2007/99,160
A/Johannesburg/21/04,A/Panama/2007/99,160
A/Panama/2007/99,A/Egypt/130/02,1280
A/Egypt/130/02,A/Egypt/130/02,2560
A/Fujian/411/02,A/Egypt/130/02,80
A/Wyoming/3/03,A/Egypt/130/02,640
A/UK/1861/03,A/Egypt/130/02,80
A/Christchurch/28/03,A/Egypt/130/02,160
A/Paris/637/03,A/Egypt/130/02,1280
A/Samara/30/04,A/Egypt/130/02,2560
A/Turkey/405/04,A/Egypt/130/02,640
A/Denmark/17/03,A/Egypt/130/02,160
A/Ireland/10108/03,A/Egypt/130/02,160
A/Israel/21/03,A/Egypt/130/02,160
A/Morocco/50/04,A/Egypt/130/02,160
A/Belgium/G24/04,A/Egypt/130/02,320
A/England/420/03,A/Egypt/130/02,160
A/Geneva/5361/03,A/Egypt/130/02,160
A/Lisbon/17/03,A/Egypt/130/02,160
A/Netherlands/327/03,A/Egypt/130/02,160
A/Barcelona/37/03,A/Egypt/130/02,40
