Test Virus,Reference Virus,Titre
A/Panama/2007/99,A/Panama/2007/99,5120
A/New York/55/01,A/Panama/2007/99,5120
A/Hong Kong/1550/02,A/Panama/2007/99,5120
A/Egypt/130/02,A/Panama/2007/99,1280
A/Fujian/411/02,A/Panama/2007/99,80
A/Sendai/4952/02,A/Panama/2007/99,320
A/Finland/170/03,A/Panama/2007/99,160
A/Netherlands/369/02,A/Panama/2007/99,2560
A/Austria/79807/03,A/Panama/2007/99,2560
A/Rome/3/03,A/Panama/2007/99,1280
A/Prague/34/03,A/Panama/2007/99,640
A/Slovakia/252/03,A/Panama/2007/99,320
A/Latvia/1506/03,A/Panama/2007/99,1280
A/Perugia/7/03,A/Panama/2007/99,1280
A/Hannover/94/03,A/Panama/2007/99,5120
A/Belgrade/1061/03,A/Panama/2007/99,640
A/Geneva/3340/03,A/Panama/2007/99,1280
A/Greece/109/03,A/Panama/2007/99,320
A/Oslo/3391/03,A/Panama/2007/99,1280
A/Dakar/11/02,A/Panama/2007/99,1280
A/Lyon/476/03,A/Panama/2007/99,320
A/Netherlands/17/03,A/Panama/2007/99,320
A/Firenze/10/03,A/Panama/2007/99,320
A/Berlin/35/03,A/Panama/2007/99,320
A/Parma/18/03,A/Panama/2007/99,320
A/Moscow/48/03,A/Panama/2007/99,80
A/Geneva/3767/03,A/Panama/2007/99,160
A/Dakar/10/03,A/Panama/2007/99,160
A/St. Petersburg/122/03,A/Panama/2007/99,160
A/Denmark/44/03,A/Panama/2007/99,320
A/Stockholm/10/03,A/Panama/2007/99,320
A/Iceland/22/03,A/Panama/2007/99,160
A/Finland/300/03,A/Panama/2007/99,160
A/Barcelona/364/03,A/Panama/2007/99,160
A/Madagascar/69863/03,A/Panama/2007/99,40
A/Israel/3650/03,A/Panama/2007/99,160
A/Johannesburg/28/03,A/Panama/2007/99,80
A/Hong Kong/1227/03,A/Panama/2007/99,320
A/Panama/2007/99,A/New York/55/01,1280
A/New York/55/01,A/New York/55/01,2560
A/Hong Kong/1550/02,A/New York/55/01,2560
A/Egypt/130/02,A/New York/55/01,640
A/Fujian/411/02,A/New York/55/01,40
A/Sendai/4952/02,A/New York/55/01,320
A/Finland/170/03,A/New York/55/01,80
A/Netherlands/369/02,A/New York/55/01,1280
A/Austria/79807/03,A/New York/55/01,1280
A/Rome/3/03,A/New York/55/01,2560
A/Prague/34/03,A/New York/55/01,640
A/Slovakia/252/03,A/New York/55/01,2560
A/Latvia/1506/03,A/New York/55/01,2560
A/Perugia/7/03,A/New York/55/01,2560
A/Hannover/94/03,A/New York/55/01,5120
A/Belgrade/1061/03,A/New York/55/01,1280
A/Geneva/3340/03,A/New York/55/01,2560
A/Greece/109/03,A/New York/55/01,1280
A/Oslo/3391/03,A/New York/55/01,640
A/Dakar/11/02,A/New York/55/01,640
A/Lyon/476/03,A/New York/55/01,320
A/Netherlands/17/03,A/New York/55/01,320
A/Firenze/10/03,A/New York/55/01,160
A/Berlin/35/03,A/New York/55/01,320
A/Parma/18/03,A/New York/55/01,640
A/Moscow/48/03,A/New York/55/01,80
A/Geneva/3767/03,A/New York/55/01,160
A/Dakar/10/03,A/New York/55/01,80
A/St. Petersburg/122/03,A/New York/55/01,320
A/Denmark/44/03,A/New York/55/01,640
A/Stockholm/10/03,A/New York/55/01,80
A/Iceland/22/03,A/New York/55/01,320
A/Finland/300/03,A/New York/55/01,320
A/Barcelona/364/03,A/New York/55/01,80
A/Madagascar/69863/03,A/New York/55/01,80
