Test Virus,Reference Virus,Titre
A/California/7/2004,A/California/7/2004,5120
A/Hong Kong/4443/2005,A/California/7/2004,1280
A/Hiroshima/52/2005,A/California/7/2004,640
A/Wisconsin/67/2005,A/California/7/2004,1280
A/Slovakia/134/2006,A/California/7/2004,1280
A/Berlin/2/2006,A/California/7/2004,320
A/Lyon/636/2006,A/California/7/2004,1280
A/Hiroshima/33/2006,A/California/7/2004,320
A/Sendai/F131/2006,A/California/7/2004,320
A/Algeria/G138/2006,A/California/7/2004,320
A/Madagascar/2670/2006,A/California/7/2004,640
A/Greece/624/2006,A/California/7/2004,160
A/Madagascar/2700/2006,A/California/7/2004,640
A/Madagascar/2699/2006,A/California/7/2004,640
A/Umea/7/06,A/California/7/2004,80
A/Madagascar/2761/2006,A/California/7/2004,640
A/Algeria/G273/2006,A/California/7/2004,80
A/Marseille/1215/06,A/California/7/2004,640
A/Bordeaux/1276/06,A/California/7/2004,320
A/Paris/395/2007,A/California/7/2004,320
A/Parma/9/2006,A/California/7/2004,160
A/Norway/2250/2006,A/California/7/2004,320
A/Norway/2253/2006,A/California/7/2004,320
A/Norway/2252/2006,A/California/7/2004,160
A/Switzerland/6936/2006,A/California/7/2004,1280
A/Egypt/99/2006,A/California/7/2004,640
A/Belgium/SP005/07,A/California/7/2004,320
A/Belgium/SP007/07,A/California/7/2004,80
A/Lyon/1359/06,A/California/7/2004,160
A/Belgium/SP003/07,A/California/7/2004,640
A/Lyon/1324/06,A/California/7/2004,320
A/Lyon/1312/06,A/California/7/2004,320
A/Belgium/SP009/07,A/California/7/2004,160
A/California/7/2004,A/Hong Kong/4443/2005,640
A/Hong Kong/4443/2005,A/Hong Kong/4443/2005,1280
A/Hiroshima/52/2005,A/Hong Kong/4443/2005,1280
A/Wisconsin/67/2005,A/Hong Kong/4443/2005,1280
A/Slovakia/134/2006,A/Hong Kong/4443/2005,2560
A/Berlin/2/2006,A/Hong Kong/4443/2005,320
A/Lyon/636/2006,A/Hong Kong/4443/2005,320
A/Hiroshima/33/2006,A/Hong Kong/4443/2005,320
A/Sendai/F131/2006,A/Hong Kong/4443/2005,1280
A/Algeria/G138/2006,A/Hong Kong/4443/2005,320
A/Madagascar/2670/2006,A/Hong Kong/4443/2005,640
A/Greece/624/2006,A/Hong Kong/4443/2005,160
A/Madagascar/2700/2006,A/Hong Kong/4443/2005,320
A/Madagascar/2699/2006,A/Hong Kong/4443/2005,320
A/Umea/7/06,A/Hong Kong/4443/2005,160
A/Madagascar/2761/2006,A/Hong Kong/4443/2005,640
A/Algeria/G273/2006,A/Hong Kong/4443/2005,80
A/Marseille/1215/06,A/Hong Kong/4443/2005,640
A/Bordeaux/1276/06,A/Hong Kong/4443/2005,640
A/Paris/395/2007,A/Hong Kong/4443/2005,320
A/Parma/9/2006,A/Hong Kong/4443/2005,640
A/Norway/2250/2006,A/Hong Kong/4443/2005,320
A/Norway/2253/2006,A/Hong Kong/4443/2005,320
A/Norway/2252/2006,A/Hong Kong/4443/2005,160
A/Switzerland/6936/2006,A/Hong Kong/4443/2005,640
A/Egypt/99/2006,A/Hong Kong/4443/2005,2560
A/Belgium/SP005/07,A/Hong Kong/4443/2005,640
A/Belgium/SP007/07,A/Hong Kong/4443/2005,80
A/Lyon/1359/06,A/Hong Kong/4443/2005,320
A/Belgium/SP003/07,A/Hong Kong/4443/2005,640
A/Lyon/1324/06,A/Hong Kong/4443/2005,320
A/Lyon/1312/06,A/Hong Kong/4443/2005,640
A/Belgium/SP009/07,A/Hong Kong/4443/2005,320
A/California/7/2004,A/Hiroshima/52/2005,640
A/Hong Kong/4443/2005,A/Hiroshima/52/2005,1280
A/Hiroshima/52/2005,A/Hiroshima/52/2005,2560
A/Wisconsin/67/2005,A/Hiroshima/52/2005,2560
A/Slovakia/134/2006,A/Hiroshima/52/2005,640
A/Berlin/2/2006,A/Hiroshima/52/2005,320
A/Lyon/636/2006,A/Hiroshima/52/2005,1280
A/Hiroshima/33/2006,A/Hiroshima/52/2005,320
A/Sendai/F131/2006,A/Hiroshima/52/2005,640
A/Algeria/G138/2006,A/Hiroshima/52/2005,320
A/Madagascar/2670/2006,A/Hiroshima/52/2005,640
A/Greece/624/2006,A/Hiroshima/52/2005,320
A/Madagascar/2700/2006,A/Hiroshima/52/2005,320
A/Madagascar/2699/2006,A/Hiroshima/52/2005,320
A/Umea/7/06,A/Hiroshima/52/2005,80
A/Madagascar/2761/2006,A/Hiroshima/52/2005,320
A/Algeria/G273/2006,A/Hiroshima/52/2005,160
A/Marseille/1215/06,A/Hiroshima/52/2005,320
A/Bordeaux/1276/06,A/Hiroshima/52/2005,640
A/Paris/395/2007,A/Hiroshima/52/2005,320
A/Parma/9/2006,A/Hiroshima/52/2005,640
A/Norway/2250/2006,A/Hiroshima/52/2005,320
A/Norway/2253/2006,A/Hiroshima/52/2005,160
A/Norway/2252/2006,A/Hiroshima/52/2005,160
A/Switzerland/6936/2006,A/Hiroshima/52/2005,320
A/Egypt/99/2006,A/Hiroshima/52/2005,1280
A/Belgium/SP005/07,A/Hiroshima/52/2005,320
A/Belgium/SP007/07,A/Hiroshima/52/2005,160
A/Lyon/1359/06,A/Hiroshima/52/2005,160
A/Belgium/SP003/07,A/Hiroshima/52/2005,320
A/Lyon/1324/06,A/Hiroshima/52/2005,320
A/Lyon/1312/06,A/Hiroshima/52/2005,320
A/Belgium/SP009/07,A/Hiroshima/52/2005,320
A/California/7/2004,A/Wisconsin/67/2005,1280
A/Hong Kong/4443/2005,A/Wisconsin/67/2005,2560
A/Hiroshima/52/2005,A/Wisconsin/67/2005,5120
A/Wisconsin/67/2005,A/Wisconsin/67/2005,5120
A/Slovakia/134/2006,A/Wisconsin/67/2005,5120
A/Berlin/2/2006,A/Wisconsin/67/2005,320
A/Lyon/636/2006,A/Wisconsin/67/2005,320
A/Hiroshima/33/2006,A/Wisconsin/67/2005,320
A/Sendai/F131/2006,A/Wisconsin/67/2005,640
A/Algeria/G138/2006,A/Wisconsin/67/2005,320
A/Madagascar/2670/2006,A/Wisconsin/67/2005,2560
A/Greece/624/2006,A/Wisconsin/67/2005,160
A/Madagascar/2700/2006,A/Wisconsin/67/2005,1280
A/Madagascar/2699/2006,A/Wisconsin/67/2005,640
A/Umea/7/06,A/Wisconsin/67/2005,160
A/Madagascar/2761/2006,A/Wisconsin/67/2005,2560
A/Algeria/G273/2006,A/Wisconsin/67/2005,40
A/Marseille/1215/06,A/Wisconsin/67/2005,160
A/Bordeaux/1276/06,A/Wisconsin/67/2005,320
A/Paris/395/2007,A/Wisconsin/67/2005,320
A/Parma/9/2006,A/Wisconsin/67/2005,160
A/Norway/2250/2006,A/Wisconsin/67/2005,1280
A/Norway/2253/2006,A/Wisconsin/67/2005,640
A/Norway/2252/2006,A/Wisconsin/67/2005,320
A/Switzerland/6936/2006,A/Wisconsin/67/2005,160
A/Egypt/99/2006,A/Wisconsin/67/2005,1280
A/Belgium/SP005/07,A/Wisconsin/67/2005,640
A/Belgium/SP007/07,A/Wisconsin/67/2005,80
A/Lyon/1359/06,A/Wisconsin/67/2005,80
A/Belgium/SP003/07,A/Wisconsin/67/2005,1280
A/Lyon/1324/06,A/Wisconsin/67/2005,320
A/Lyon/1312/06,A/Wisconsin/67/2005,320
A/Belgium/SP009/07,A/Wisconsin/67/2005,160
A/California/7/2004,A/Slovakia/134/2006,320
A/Hong Kong/4443/2005,A/Slovakia/134/2006,640
A/Hiroshima/52/2005,A/Slovakia/134/2006,160
A/Wisconsin/67/2005,A/Slovakia/134/2006,640
A/Slovakia/134/2006,A/Slovakia/134/2006,320
A/Berlin/2/2006,A/Slovakia/134/2006,80
A/Lyon/636/2006,A/Slovakia/134/2006,80
A/Hiroshima/33/2006,A/Slovakia/134/2006,160
A/Sendai/F131/2006,A/Slovakia/134/2006,160
A/Algeria/G138/2006,A/Slovakia/134/2006,40
A/Madagascar/2670/2006,A/Slovakia/134/2006,160
