Test Virus,Reference Virus,Titre
A/Cambodia/925256/2020,A/Cambodia/925256/2020,1280
A/Cambodia/e0826360/2020,A/Cambodia/925256/2020,80
A/Thuringen/10/2022,A/Cambodia/925256/2020,40
A/Stockholm/5/2021,A/Cambodia/925256/2020,80
A/Darwin/9/2021,A/Cambodia/925256/2020,80
A/Norway/24873/2021,A/Cambodia/925256/2020,40
A/Norway/24873/2021,A/Cambodia/925256/2020,80
A/Poland/97/2022,A/Cambodia/925256/2020,40
A/Slovenia/8720/2022,A/Cambodia/925256/2020,40
A/Lille/50053/2022,A/Cambodia/925256/2020,40
A/Catalonia/NSVH161512067/2022,A/Cambodia/925256/2020,40
A/Albania/290586/2023,A/Cambodia/925256/2020,160
A/Valladolid/24/2022,A/Cambodia/925256/2020,40
A/Valladolid/22/2022,A/Cambodia/925256/2020,80
A/Castilla La Mancha/3894/2022,A/Cambodia/925256/2020,40
A/Valladolid/27/2022,A/Cambodia/925256/2020,40
A/Valladolid/11/2022,A/Cambodia/925256/2020,40
A/Burgos/29/2022,A/Cambodia/925256/2020,40
A/Salamanca/33/2022,A/Cambodia/925256/2020,80
A/Burgos/28/2022,A/Cambodia/925256/2020,80
A/Ceuta/4232/2022,A/Cambodia/925256/2020,40
A/Bretagne/55452/2022,A/Cambodia/925256/2020,40
A/Avila/53/2022,A/Cambodia/925256/2020,80
A/Bulgaria/509/2023,A/Cambodia/925256/2020,40
A/Castilla La Mancha/4215/2022,A/Cambodia/925256/2020,80
A/Castilla La Mancha/4128/2022,A/Cambodia/925256/2020,80
A/Valladolid/31/2022,A/Cambodia/925256/2020,40
A/Albania/290567/2023,A/Cambodia/925256/2020,160
A/Bulgaria/664/2023,A/Cambodia/925256/2020,40
A/Mauritius/P61639/2022,A/Cambodia/925256/2020,40
A/Castilla La Mancha/3901/2022,A/Cambodia/925256/2020,40
A/Palencia/30/2022,A/Cambodia/925256/2020,<40
A/Salamanca/34/2022,A/Cambodia/925256/2020,80
A/Burgos/4/2023,A/Cambodia/925256/2020,<40
A/Valladolid/19/2022,A/Cambodia/925256/2020,40
A/Valladolid/32/2022,A/Cambodia/925256/2020,<40
A/Valladolid/12/2022,A/Cambodia/925256/2020,40
A/Burgos/5/2023,A/Cambodia/925256/2020,<40
A/Valladolid/21/2022,A/Cambodia/925256/2020,80
A/Aragon/4051/2022,A/Cambodia/925256/2020,<40
A/Bretagne/55892/2022,A/Cambodia/925256/2020,<40
A/Albania/290580/2023,A/Cambodia/925256/2020,40
A/Valladolid/15/2023,A/Cambodia/925256/2020,<40
A/Albania/290638/2023,A/Cambodia/925256/2020,40
A/Burgos/8/2023,A/Cambodia/925256/2020,<40
A/Castilla La Mancha/4044/2022,A/Cambodia/925256/2020,<40
A/Albania/290633/2023,A/Cambodia/925256/2020,40
A/Segovia/233/2022,A/Cambodia/925256/2020,<40
A/Navarra/4220/2022,A/Cambodia/925256/2020,<40
A/Brandenburg/15/2022,A/Cambodia/925256/2020,80
A/Valladolid/17/2023,A/Cambodia/925256/2020,40
A/Mauritius/P08894/2023,A/Cambodia/925256/2020,80
A/Cambodia/925256/2020,A/Cambodia/e0826360/2020,160
A/Cambodia/e0826360/2020,A/Cambodia/e0826360/2020,640
A/Thuringen/10/2022,A/Cambodia/e0826360/2020,160
A/Stockholm/5/2021,A/Cambodia/e0826360/2020,80
A/Darwin/9/2021,A/Cambodia/e0826360/2020,640
