full_name,short_name
A/Bilthoven/15793/1968,BI/15793/68
A/Bilthoven/16190/1968,BI/16190/68
A/Bilthoven/16398/1968,BI/16398/68
A/Hong Kong/1/1968,HK/1/68
A/Bilthoven/808/1969,BI/808/69
A/Bilthoven/908/1969,BI/908/69
A/Bilthoven/17938/1969,BI/17938/69
A/Bilthoven/93/1970,BI/93/70
A/Bilthoven/2668/1970,BI/2668/70
A/Bilthoven/6449/1971,BI/6449/71
A/Bilthoven/21438/1971,BI/21438/71
A/Bilthoven/21801/1971,BI/21801/71
A/Hong Kong/107/1971,HK/107/71
A/England/42/1972,EN/42/72
A/Bilthoven/6022/1972,BI/6022/72
A/Bilthoven/21793/1972,BI/21793/72
A/Bilthoven/23290/1972,BI/23290/72
A/Bilthoven/23337/1972,BI/23337/72
A/Bilthoven/552/1973,BI/552/73
A/Bilthoven/748/1973,BI/748/73
A/Bilthoven/3517/1973,BI/3517/73
A/Port Chalmers/1/1973,PC/1/73
A/Bilthoven/5146/1974,BI/5146/74
A/Bilthoven/5930/1974,BI/5930/74
A/Bilthoven/5931/1974,BI/5931/74
A/Bilthoven/7398/1974,BI/7398/74
A/Bilthoven/9459/1974,BI/9459/74
A/Bilthoven/2600/1975,BI/2600/75
A/Bilthoven/2813/1975,BI/2813/75
A/Bilthoven/4273/1975,BI/4273/75
A/Bilthoven/334/1975,BI/334/75
A/Bilthoven/1843/1975,BI/1843/75
A/Victoria/3/1975,VI/3/75
A/Bilthoven/5168/1976,BI/5168/76
A/Bilthoven/628/1976,BI/628/76
A/Bilthoven/1761/1976,BI/1761/76
A/Bilthoven/2271/1976,BI/2271/76
A/Bilthoven/5029/1976,BI/5029/76
A/Bilthoven/5657/1976,BI/5657/76
A/Bilthoven/6545/1976,BI/6545/76
A/Amsterdam/1609/1977,AM/1609/77
A/Bilthoven/3895/1977,BI/3895/77
A/Rotterdam/5828/1977,RD/5828/77
A/Rotterdam/8179/1977,RD/8179/77
A/Bangkok/1/1979,BA/1/79
A/Netherlands/209/1980,NL/209/80
A/Rotterdam/577/1980,RD/577/80
A/Lyon/2380/1981,LY/2380/81
A/Bilthoven/4791/1981,BI/4791/81
A/Bilthoven/10684/1982,BI/10684/82
A/Philippines/2/1982,PH/2/82
A/Netherlands/233/1982,NL/233/82
A/Netherlands/241/1982,NL/241/82
A/Oslo/13676/1983,OS/13676/83
A/Caen/1/1984,CE/1/84
A/Netherlands/330/1985,NL/330/85
A/Stockholm/10/1985,ST/10/85
A/Wellington/4/1985,WE/4/85
A/Guildford/V728/1985,GF/V728/85
A/Netherlands/333/1985,NL/333/85
A/Colorado/2/1986,CO/2/86
A/Leningrad/360/1986,LE/360/86
A/Sichuan/2/1987,SI/2/87
A/Victoria/7/1987,VI/7/87
A/Victoria/1/1988,VI/1/88
A/Christchurch/2/1988,CC/2/88
A/Stockholm/12/1988,ST/12/88
A/England/427/1988,EN/427/88
