Test Virus,Reference Virus,Distance
A/Acores PT/11/2013,A/Alabama/5/2010,1.9999999999999991
A/Acores/SU43/2012,A/Alabama/5/2010,0.0
A/Adjame/GR1272/2011,A/Alabama/5/2010,0.9999999999999991
A/Adjame/GR1327/2011,A/Alabama/5/2010,0.9999999999999991
A/Adjame/GR765/2011,A/Alabama/5/2010,0.0
A/Agadir/87/2011,A/Alabama/5/2010,0.9999999999999991
A/Aktobe/2935/2013,A/Alabama/5/2010,2.999999999999999
A/Aktobe/2941/2013,A/Alabama/5/2010,1.9999999999999991
A/Alabama/5/2010,A/Alabama/5/2010,0.31070083946410776
A/Alabama/5/2010,A/Alaska/5/2010,2.415037499278843
A/Alaska/5/2010,A/Alaska/5/2010,0.0
A/Ad_Duqm/7241563/2024,A/Albania/289813/2022,1.5188498287076921
A/Agadir/300/2023,A/Albania/289813/2022,1.5188498287076921
A/Al Musanaah/7233924/2023,A/Albania/289813/2022,0.5188498287076921
A/Al Musanaah/7234082/2023,A/Albania/289813/2022,0.5188498287076921
A/Al Musanaah/7234094/2023,A/Albania/289813/2022,1.5188498287076921
A/Al Musanaah/7234100/2023,A/Albania/289813/2022,0.5188498287076921
A/Al Musanaah/7234130/2023,A/Albania/289813/2022,1.5188498287076921
A/Al Musanaah/7234645/2023,A/Albania/289813/2022,0.5188498287076921
A/Albania/289813/2022,A/Albania/289813/2022,0.0
A/Albania/289813/2022,A/Albania/290243/2022,0.1926450779423945
A/Albania/290243/2022,A/Albania/290243/2022,0.0
A/Albania/289813/2022,A/Albania/290270/2022,0.0
A/Albania/290243/2022,A/Albania/290270/2022,2.1699250014423113
A/Albania/290270/2022,A/Albania/290270/2022,0.16992500144231215
A/Albania/289813/2022,A/Albania/299472/2023,0.0
A/Albania/289813/2022,A/Albania/299565/2023,0.0
A/Albania/289813/2022,A/Albania/300922/2024,0.0
A/Albania/289813/2022,A/Albania/301074/2024,0.0
A/Albania/289813/2022,A/Albania/301155/2024,0.0
A/Albania/289813/2022,A/Albania/301159/2024,0.0
A/Albania/289813/2022,A/Albania/301227/2024,0.0
A/Albania/289813/2022,A/Albania/302106/2024,0.0
A/Albania/289813/2022,A/Albania/302195/2024,0.0
A/Albania/289813/2022,A/Albania/302203/2024,0.0
A/Albania/289813/2022,A/Albania/302412/2024,0.0
A/Albania/289813/2022,A/Albania/302422/2024,0.0
A/Albania/289813/2022,A/Albania/302481/2024,0.0
A/Albania/289813/2022,A/Albania/302510/2024,0.0
A/Albania/289813/2022,A/Albania/302626/2024,0.0
A/Albania/289813/2022,A/Albania/302636/2024,0.0
A/Albania/289813/2022,A/Albania/302660/2024,0.0
A/Albania/289813/2022,A/Albania/302684/2024,0.0
A/Albania/289813/2022,A/Albania/302765/2024,0.0
A/Albania/289813/2022,A/Albania/302794/2024,0.0
A/Albania/289813/2022,A/Albania/302809/2024,0.0
A/Albania/289813/2022,A/Albania/302815/2024,0.0
A/Albania/289813/2022,A/Albania/302840/2024,0.0
A/Albania/289813/2022,A/Albania/302854/2024,0.0
A/Albania/289813/2022,A/Albania/302946/2024,0.0
A/Albania/289813/2022,A/Albania/302957/2024,0.0
A/Albania/289813/2022,A/Albania/302978/2024,0.0
A/Albania/289813/2022,A/Albania/303011/2024,0.0
A/Albania/289813/2022,A/Albania/303097/2024,0.0
A/Albania/289813/2022,A/Albania/303141/2024,0.0
A/Albania/289813/2022,A/Albania/303794/2024,0.0
A/Alabama/5/2010,A/Alborz/96/2012,0.0
A/Albania/289813/2022,A/Algeria/1229/2023,0.0
A/Albania/289813/2022,A/Algeria/1767/2023,0.0
A/Albania/289813/2022,A/Algeria/2131/2023,0.0
A/Albania/289813/2022,A/Algeria/2157/2023,0.0
A/Alabama/5/2010,A/Algeria/G04/2011,0.0
A/Alabama/5/2010,A/Algeria/G05/2011,0.0
A/Alabama/5/2010,A/Algeria/G10/2011,0.0
A/Alabama/5/2010,A/Algeria/G36/2011,0.0
A/Alabama/5/2010,A/Algiers/107/2012,0.0
A/Alabama/5/2010,A/Algiers/120/2012,0.0
A/Alabama/5/2010,A/Almaty/2878/2013,0.0
A/Alabama/5/2010,A/Almaty/2901/2013,0.0
A/Alabama/5/2010,A/Almaty/2926/2013,0.0
A/Alabama/5/2010,A/Almaty/2927/2013,0.0
A/Alabama/5/2010,A/Almaty/2929/2013,0.0
A/Alabama/5/2010,A/Almaty/2944/2013,0.0
A/Alabama/5/2010,A/Almaty/2946/2013,0.0
A/Alabama/5/2010,A/Almaty/2952/2013,0.0
A/Alabama/5/2010,A/Almaty/2955/2013,0.0
A/Alabama/5/2010,A/Almaty/2956/2013,0.0
A/Adana/11/2014,A/Almaty/2958/2013,3.3689429144049514
A/Adana/111/2014,A/Almaty/2958/2013,1.3689429144049523
A/Adana/116/2014,A/Almaty/2958/2013,2.3689429144049523
A/Adana/117/2014,A/Almaty/2958/2013,2.3689429144049523
A/Adana/199/2014,A/Almaty/2958/2013,2.3689429144049523
A/Adana/223/2014,A/Almaty/2958/2013,2.3689429144049523
