Test Virus,Reference Virus,Titre
A/Abu Dhabi/240/2018,A/Bretagne/1413/2017,40
A/Abu Dhabi/240/2018,A/England/538/2018,40
A/Abu Dhabi/240/2018,A/Hong Kong/5738/2014,<40
A/Abu Dhabi/240/2018,A/La Rioja/2202/2018,160
A/Abu Dhabi/240/2018,A/Netherlands/10260/2018,640
A/Abu Dhabi/240/2018,A/Norway/3275/2018,80
A/Abu Dhabi/240/2018,A/Singapore/INFIMH-16-0019/2016,80
A/Abu Dhabi/240/2018,A/Stockholm/6/2014,<40
A/Abu Dhabi/240/2018,A/Switzerland/8060/2017,40
A/Acores PT/11/2013,A/Alabama/5/2010,80
A/Acores PT/11/2013,A/Athens/112/2012,560
A/Acores PT/11/2013,A/Berlin/93/2011,640
A/Acores PT/11/2013,A/Hawaii/22/2012,320
A/Acores PT/11/2013,A/Iowa/19/2010,160
A/Acores PT/11/2013,A/Perth/16/2009,40
A/Acores PT/11/2013,A/Samara/73/2013,240
A/Acores PT/11/2013,A/Stockholm/18/2011,160
A/Acores PT/11/2013,A/Texas/50/2012,560
A/Acores PT/11/2013,A/Victoria/208/2009,80
A/Acores PT/11/2013,A/Victoria/361/2011,200
A/Acores/SU43/2012,A/Alabama/5/2010,320
A/Acores/SU43/2012,A/Athens/112/2012,640
A/Acores/SU43/2012,A/Berlin/93/2011,640
A/Acores/SU43/2012,A/Hawaii/22/2012,320
A/Acores/SU43/2012,A/Iowa/19/2010,320
A/Acores/SU43/2012,A/Perth/16/2009,160
A/Acores/SU43/2012,A/Stockholm/18/2011,320
A/Acores/SU43/2012,A/Texas/50/2012,1280
A/Acores/SU43/2012,A/Victoria/208/2009,160
A/Acores/SU43/2012,A/Victoria/361/2011,480
A/Ad_Duqm/7241563/2024,A/Albania/289813/2022,320
A/Ad_Duqm/7241563/2024,A/Croatia/10136/RV/2023,320
A/Ad_Duqm/7241563/2024,A/Lisboa/216/2023,320
A/Ad_Duqm/7241563/2024,A/Massachusetts/18/2022,160
A/Ad_Duqm/7241563/2024,A/Netherlands/10563/2023,640
A/Ad_Duqm/7241563/2024,A/Slovenia/49/2024,320
A/Ad_Duqm/7241563/2024,A/Sydney/856/2023,320
A/Ad_Duqm/7241563/2024,A/Thailand/08/2022,320
A/Adana/11/2014,A/Almaty/2958/2013,160
A/Adana/11/2014,A/Athens/112/2012,320
A/Adana/11/2014,A/Hong Kong/146/2013,320
A/Adana/11/2014,A/Iowa/19/2010,80
A/Adana/11/2014,A/Perth/16/2009,<40
A/Adana/11/2014,A/Samara/73/2013,320
A/Adana/11/2014,A/Serbia/NS210/2013,160
A/Adana/11/2014,A/Stockholm/18/2011,160
A/Adana/11/2014,A/Texas/50/2012,160
A/Adana/11/2014,A/Victoria/361/2011,320
A/Adana/111/2014,A/Almaty/2958/2013,640
A/Adana/111/2014,A/Athens/112/2012,640
A/Adana/111/2014,A/Hong Kong/146/2013,320
A/Adana/111/2014,A/Iowa/19/2010,320
A/Adana/111/2014,A/New York/39/2012,240
A/Adana/111/2014,A/Perth/16/2009,80
A/Adana/111/2014,A/Samara/73/2013,640
A/Adana/111/2014,A/Serbia/NS-210/2013,320
A/Adana/111/2014,A/Stockholm/18/2011,320
A/Adana/111/2014,A/Texas/50/2012,320
A/Adana/111/2014,A/Victoria/361/2011,320
A/Adana/116/2014,A/Almaty/2958/2013,320
A/Adana/116/2014,A/Athens/112/2012,640
A/Adana/116/2014,A/Hong Kong/146/2013,320
A/Adana/116/2014,A/Iowa/19/2010,80
A/Adana/116/2014,A/New York/39/2012,120
A/Adana/116/2014,A/Perth/16/2009,<40
A/Adana/116/2014,A/Samara/73/2013,640
A/Adana/116/2014,A/Serbia/NS-210/2013,320
A/Adana/116/2014,A/Stockholm/18/2011,160
A/Adana/116/2014,A/Texas/50/2012,160
A/Adana/116/2014,A/Victoria/361/2011,320
A/Adana/117/2014,A/Almaty/2958/2013,320
A/Adana/117/2014,A/Athens/112/2012,640
A/Adana/117/2014,A/Hong Kong/146/2013,320
A/Adana/117/2014,A/Iowa/19/2010,80
A/Adana/117/2014,A/New York/39/2012,240
A/Adana/117/2014,A/Perth/16/2009,<40
A/Adana/117/2014,A/Samara/73/2013,640
A/Adana/117/2014,A/Serbia/NS-210/2013,320
A/Adana/117/2014,A/Stockholm/18/2011,160
A/Adana/117/2014,A/Texas/50/2012,160
A/Adana/117/2014,A/Victoria/361/2011,320
A/Adana/199/2014,A/Almaty/2958/2013,320
A/Adana/199/2014,A/Athens/112/2012,640
A/Adana/199/2014,A/Hong Kong/146/2013,320
A/Adana/199/2014,A/Iowa/19/2010,160
A/Adana/199/2014,A/New York/39/2012,240
A/Adana/199/2014,A/Perth/16/2009,40
A/Adana/199/2014,A/Samara/73/2013,640
A/Adana/199/2014,A/Serbia/NS-210/2013,320
A/Adana/199/2014,A/Stockholm/18/2011,320
A/Adana/199/2014,A/Texas/50/2012,160
A/Adana/199/2014,A/Victoria/361/2011,320
A/Adana/223/2014,A/Almaty/2958/2013,320
A/Adana/223/2014,A/Athens/112/2012,640
A/Adana/223/2014,A/Hong Kong/146/2013,320
A/Adana/223/2014,A/Iowa/19/2010,80
A/Adana/223/2014,A/New York/39/2012,160
A/Adana/223/2014,A/Perth/16/2009,40
A/Adana/223/2014,A/Samara/73/2013,640
A/Adana/223/2014,A/Serbia/NS-210/2013,320
A/Adana/223/2014,A/Stockholm/18/2011,160
A/Adana/223/2014,A/Texas/50/2012,160
A/Adana/223/2014,A/Victoria/361/2011,320
A/Adana/234/2014,A/Almaty/2958/2013,160
A/Adana/234/2014,A/Athens/112/2012,320
A/Adana/234/2014,A/Hong Kong/146/2013,160
A/Adana/234/2014,A/Iowa/19/2010,160
A/Adana/234/2014,A/Perth/16/2009,<40
A/Adana/234/2014,A/Samara/73/2013,320
A/Adana/234/2014,A/Serbia/NS-210/2013,320
A/Adana/234/2014,A/Stockholm/18/2011,160
A/Adana/234/2014,A/Texas/50/2012,160
A/Adana/234/2014,A/Victoria/361/2011,160
A/Adana/363/2014,A/Almaty/2958/2013,160
A/Adana/363/2014,A/Athens/112/2012,640
A/Adana/363/2014,A/Hong Kong/146/2013,320
A/Adana/363/2014,A/Iowa/19/2010,160
A/Adana/363/2014,A/Perth/16/2009,<40
A/Adana/363/2014,A/Samara/73/2013,320
A/Adana/363/2014,A/Serbia/NS-210/2013,320
A/Adana/363/2014,A/Stockholm/18/2011,320
A/Adana/363/2014,A/Texas/50/2012,160
A/Adana/363/2014,A/Victoria/361/2011,160
A/Adana/4168/2013,A/Almaty/2958/2013,320
A/Adana/4168/2013,A/Athens/112/2012,640
A/Adana/4168/2013,A/Hong Kong/146/2013,320
A/Adana/4168/2013,A/Iowa/19/2010,160
A/Adana/4168/2013,A/Perth/16/2009,40
A/Adana/4168/2013,A/Samara/73/2013,320
A/Adana/4168/2013,A/Serbia/NS-210/2013,160
A/Adana/4168/2013,A/Stockholm/18/2011,320
A/Adana/4168/2013,A/Texas/50/2012,160
A/Adana/4168/2013,A/Victoria/361/2011,320
A/Adana/4211/2013,A/Almaty/2958/2013,320
A/Adana/4211/2013,A/Athens/112/2012,640
A/Adana/4211/2013,A/Hong Kong/146/2013,320
A/Adana/4211/2013,A/Iowa/19/2010,160
A/Adana/4211/2013,A/Perth/16/2009,40
A/Adana/4211/2013,A/Samara/73/2013,320
A/Adana/4211/2013,A/Serbia/NS-210/2013,320
A/Adana/4211/2013,A/Stockholm/18/2011,160
A/Adana/4211/2013,A/Texas/50/2012,160
A/Adana/4211/2013,A/Victoria/361/2011,320
A/Adana/66/2014,A/Almaty/2958/2013,160
A/Adana/66/2014,A/Athens/112/2012,640
A/Adana/66/2014,A/Hong Kong/146/2013,160
A/Adana/66/2014,A/Iowa/19/2010,80
A/Adana/66/2014,A/Perth/16/2009,<40
A/Adana/66/2014,A/Samara/73/2013,320
A/Adana/66/2014,A/Serbia/NS210/2013,160
A/Adana/66/2014,A/Stockholm/18/2011,80
A/Adana/66/2014,A/Texas/50/2012,160
A/Adana/66/2014,A/Victoria/361/2011,160
A/Adana/9/2014,A/Almaty/2958/2013,320
A/Adana/9/2014,A/Athens/112/2012,640
A/Adana/9/2014,A/Hong Kong/146/2013,320
A/Adana/9/2014,A/Iowa/19/2010,160
A/Adana/9/2014,A/Perth/16/2009,40
A/Adana/9/2014,A/Samara/73/2013,640
A/Adana/9/2014,A/Serbia/NS210/2013,160
