name,len_input,len_HA1,cut_idx_in_original,motif,note,status
A/Panama/2007/1999|EPI_ISL_167277,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Panama/2007/1999|EPI_ISL_2674,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Panama/2007/1999|EPI_ISL_2674,333,329,583,already_HA1,looks_like_HA1_only(n=333)|SP=none|tail_enforced,OK
A/Panama/2007/1999|EPI_ISL_174195,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Panama/2007/1999|EPI_ISL_2674,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Panama/2007/1999|EPI_ISL_2674,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Panama/2007/1999|EPI_ISL_2674,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Panama/2007/1999|EPI_ISL_111375,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Bayern/4/2006|EPI_ISL_100374,319,319,583,already_HA1,looks_like_HA1_only(n=319)|SP=none,OK
A/Nepal/921/2006|EPI_ISL_21272,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Nepal/921/2006|EPI_ISL_185400,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Nepal/921/2006|EPI_ISL_13177,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Serres/77/2007|EPI_ISL_20632,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Serres/77/2007|EPI_ISL_187890,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Netherlands/363/2006|EPI_ISL_115648,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Nepal/921/2006|EPI_ISL_12700573,340,329,583,already_HA1,looks_like_HA1_only(n=340)|SP=none|tail_enforced,OK
A/Nepal/921/2006|EPI_ISL_127612,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Victoria/500/2004|EPI_ISL_21252,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Victoria/500/2004|EPI_ISL_12069,340,329,583,already_HA1,looks_like_HA1_only(n=340)|SP=none|tail_enforced,OK
A/Victoria/110/2004|EPI_ISL_167291,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Victoria/110/2004|EPI_ISL_21139,340,329,583,already_HA1,looks_like_HA1_only(n=340)|SP=none|tail_enforced,OK
A/Victoria/110/2004|EPI_ISL_12076,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Victoria/110/2004|EPI_ISL_14284887,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Trieste/25c/2007|EPI_ISL_60849,492,271,361,R/K+GLF,found_R/K+GLF_at=271|SP=auto:none,OK
A/Wyoming/3/2003|EPI_ISL_14284921,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wyoming/3/2003|EPI_ISL_357704,337,331,583,already_HA1,looks_like_HA1_only(n=337)|SP=none|tail_enforced,OK
A/Wyoming/3/2003|EPI_ISL_124899,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Wyoming/3/2003|EPI_ISL_357703,342,334,583,already_HA1,looks_like_HA1_only(n=342)|SP=none|tail_enforced,OK
A/Johannesburg/28/03|EPI_ISL_3678,307,307,583,already_HA1,looks_like_HA1_only(n=307)|SP=none,OK
A/Fujian/411/02|EPI_ISL_9798,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Finland/170/03|EPI_ISL_4246,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Finland/170/03|EPI_ISL_4246,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
